producto,categoria,seccion,linea,abastecimiento,negocio
QUESO MANTECOSO QUILQUE LAMINADO KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
LOMO VETADO VAC GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
MOTE C/ HUESILLO 500G+MOTE 300G HUESILLO,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
QUESO RODDA LAMINADO SOPROLE KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
GARBANZOS S/PIEL MEDIANO BANQUETE 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"BEB LACTEA BLISS 190 ML, PIÑA COLADA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SAHNE-NUSS 14GR X 20,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GOMON FRUTAL 700 GR.,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUESILLO NEXT 300 GR,QUESOS FRESCOS ENVASADOS,QUESOS Y HUEVOS,QUESOS FRESCOS,Directo,PERECIBLES
SALCHICHA AVE MONTINA 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LONGANIZA MERKAT 1KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
JAMON ACARAMELADO SUPER CERDO G2 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
POROTOS TORTOLA BANQUETE 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PACK BEB/LACTEA MANZANA UNO 6X80 ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SAL FINA MERKAT 1 KG,SAL,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TORTA MANJAR DURAZNO LAF 15PP,TORTAS,PASTELERIA,PASTELERIA FRESCA,Directo,PRODUCCION
PACK BEB/LACTEA FRAMBUESA UNO 6X80 ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PECHUGA PAVO COCIDA SJ VIDA KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
HARINA SUAZO 10 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
QUEQUE PLATANO UND.,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
BOMBONES CAREZZA 458 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGH GRIEGO TROZ NESTLE 11, PIÑA DURAZNO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SALCHICHA DE POLLO PF 1 KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"YOG. NESTLE BATIDO 120 GRS, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CORBATA CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
NESTLE MILO LARGA VIDA 200 CC,LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
"YOGHURT YOGU-YOGU CAJA. 200 CC, FRUTILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
MALVA CALAF 250 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FIAMBRE JAMON SANDWICH SUPER 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
TOMATE PRIMERA GRANEL.,SOLANACEAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
JAMON PAVO P F 1 KILO,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
TE CEYLAN AROMA 100 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON COLONIAL PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LAVALOZAS LIMON CIT DP VIRGINIA 1 LT,LAVALOZAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
SPAGHETTI Nº5 LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LENTEJAS 6 MM PRODUCTOS DIAZ 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GARBANZOS PELADOS PRODUCTOS DIAZ 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TRUTRO ENTERO POLLO ARIZTIA GRANEL KG.,POLLO GRANEL,CARNES,POLLO,Directo,PERECIBLES
"YOGH GRIEGO TROZ NESTLE 115G, MANGO PAP",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TRUTRO CORTO DESH.PAVO SOPRAVAL GR.1 KG,PAVO GRANEL,CARNES,PAVO,Directo,PERECIBLES
MORTADELA LISA SAN JORGE KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ESPIRALES CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
QUEQUE VAINILLA UND,PASTELES ENVASADOS,PASTELERIA,PASTELERIA ENVASADA,Directo,PRODUCCION
VIENESA POLLO SAN JORGE 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PACK BEB/LACTEA NARANJA UNO 6X80 ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
BROCOLIS UNIDAD,CRUCIFERAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
ARROZ PREGRANEADO G1 LARGO TUCAPEL 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT 1+1 SOPROLE 140 GR., ZUCARITAS",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PACK BEB/LACTEA FRUTILLA UNO 6X80 ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LAVALOZAS LIMON QUIX 1.5 LT,LAVALOZAS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
ARROLLADO DE HUASO P.F. 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
SPAGHETTI Nº5 CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
JAMON AVE COCIDO PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PAÑAL TELA SUAVE BABYSEC XG 32 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
PIZZA PEPPERONI SAN JORGE 480 GRS,PIZZAS Y MASAS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
COSTILLAR SUREÑO SUPER CERDO KG,CERDO ENVASADO,CARNES,CERDO,Directo,PERECIBLES
JAMON DE PAVO ACARAMELADO PF 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"LECHE NESQUIK LV 200 CC, CHOCOLATE",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
ARROLLADO LOMO S/AJI SAN JORGE 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
FRUTALISTA DURAZNO EL VERGEL 4X113 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
KETCHUP HELLMANNS C/DOSIF DP 1 KG,KETCHUP,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TRUTRO ALA POLLO SUPERPOLLO GRANEL 1KG,POLLO GRANEL,CARNES,POLLO,Directo,PERECIBLES
"YOGH GRIEGO TROZ NESTLE 115G, FRUTI CERE",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"MANJARATE SOPROLE 80 GR, MANJAR CHOC",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ALIM PERRO CARNE&POLLO&C PEDIGREE 9K,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
PECHUGA PAVO AHUMADA SJ VIDA KG.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
ARROLLADO HUASO ARTESANAL WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PECHUGA DE PAVO AHUMADA SOPRAVAL 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LECHUGA COSTINA BOLSA UND.,HOJAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
CHORIZO WINTER 1 KG,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PECHUGA ENTERA POLLO ARIZTIA GRANEL KG.,POLLO GRANEL,CARNES,POLLO,Directo,PERECIBLES
SUSTANCIA INDIVIDUAL YUPANQUI 20 UN,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
JAMON PAVO ACARAMELADO WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
LENTEJAS 6 MM MERKAT 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
LENTEJAS 6 MM BONANZA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PECHUGA ASADA DE POLLO SUPER POLLO KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
SPAGHETTI Nº5 MERKAT 1 KG,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PIZZA QUESO JAMON SAN JORGE 520 GRS,PIZZAS Y MASAS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
"LECHE NESQUIK LV 200 CC, FRUTILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
CORBATAS MERKAT 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAPAS FRITAS STAX SAL LAYS 140 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
DET POLVO ACE NATURALS C/SUAVIZ 3KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
YOGHURT PACK 1+1,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
COLIFLOR ENVASADA UND,CRUCIFERAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
ALIM PERRO CARNE&VEGETALES PEDIGREE 9K,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
ARROZ G1 LARGO BANQUETE 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
OMO MULTIACCION 400 GR,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
ALIM GATO POLLO CHAMPION 3K,ALIMENTO GATO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA GATOS,Centralizado,NON FOOD
SPAGHETTI Nº5 MERKAT 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PECHUGA DE POLLO AHUMADO SUPER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"YOGHURT BA S/LACT NESTLE 120 G, VAINILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PAPA FRITA KRYZPO ORIGINAL 140GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TE YELLOW LABEL LIPTON 100 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ARVEJAS VERDES PARTIDA PROD.DIAZ 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PH ULTRA SUAVE DH MI HOGAR 6X30 MT,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
"YOG. NESTLE BATIDO 120 GRS, PIÑA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
QUESO LAMINADO GAUDA CALO KG,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
"BEB LACTEA BLISS 190 ML, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOG. NESTLE BATIDO 120 GRS, FRUTIL",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA CRIOLLITA CHAMP MCKAY 100 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PIMENTON VERDE UN,SOLANACEAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
MANJAR NESTLE.1 KG.,MANJAR BOLSA,LACTEOS,MANJAR,Directo,PERECIBLES
LECHE POLVO ENTERA NIDO TR 1.6 KG,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PASTA TOTAL 12 CLEAN MINT COLGATE 75 ML,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
PECHUGA AHUMADA DE PAVO PF 1 KILO,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CHOCMAN COSTA 33 GRS.,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HARINA S/POLVO MONT BLANC KILO,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PIZZA SALAME SAN JORGE 480 GRS,PIZZAS Y MASAS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
PACK BEB UNO SOPROLE MULTISABOR 18X80ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TALLARINES 87 CAROZZI 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SALCHICHON CERVEZA WINTER KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
P.  PICANA VAC VCO KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
PECHUGA DE POLLO COCIDA PF KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
TORTELLONI CHAMPIÑON CHEF 500 GR.,MASAS Y PASTAS FRESCAS,PLATOS PREPARADOS,PLATOS PREPARADOS,Directo,PRODUCCION
AZUCAR IANSA GRANULADA 50 KG,AZUCAR,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
POROTOS BLANCO NATURA 1 KG,LEGUMBRES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CHICLE SANDIA,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
POSTA ROSADA VAC GRA KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
FLAN SOPROLE CARAMELO 120 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
QUESILLO SOPROLE 300 GR,QUESOS FRESCOS ENVASADOS,QUESOS Y HUEVOS,QUESOS FRESCOS,Directo,PERECIBLES
MORTADELA JAMONADA POLLO SAN JORGE 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CHICLE SPLOT ACID COLOMBINA 384 GR.,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
DET POLVO ACE NATURALS 3KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PASTA COLGATE LUMINOUS WHITE 90GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
