nombre_producto,fecha,semana,categoria,tienda,comuna,region,motivo,subtipo,area_responsable,unidades_merma,costo_unitario,valor_total_merma
AZUCAR GRANULADA MERKAT 1 KG,2016-12-22,51,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,901,1802
AZUCAR GRANULADA MERKAT 1 KG,2016-12-23,51,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-25,51,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-26,52,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-03,48,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,6,2703,16218
AZUCAR GRANULADA MERKAT 1 KG,2016-12-04,48,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,4,1802,7208
AZUCAR GRANULADA MERKAT 1 KG,2016-12-05,49,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,2,901,1802
AZUCAR GRANULADA MERKAT 1 KG,2016-12-10,49,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,4,1801,7204
AZUCAR GRANULADA MERKAT 1 KG,2016-12-15,50,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-16,50,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,5,2250,11250
AZUCAR GRANULADA MERKAT 1 KG,2016-12-17,50,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-18,50,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-19,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,3,1350,4050
AZUCAR GRANULADA MERKAT 1 KG,2016-12-22,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,2,900,1800
AZUCAR GRANULADA MERKAT 1 KG,2016-12-23,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-24,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-25,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,2,900,1800
AZUCAR GRANULADA MERKAT 1 KG,2016-12-02,48,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,4,1801,7204
AZUCAR GRANULADA MERKAT 1 KG,2016-12-03,48,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,6,2701,16206
AZUCAR GRANULADA MERKAT 1 KG,2016-12-04,48,AZUCAR,TEMUCO III,TEMUCO,IX,Clientes,Manipulacion,Sala de Ventas,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-15,50,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,2,900,1800
AZUCAR GRANULADA MERKAT 1 KG,2016-12-05,49,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-06,49,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-08,49,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,4,1800,7200
AZUCAR GRANULADA MERKAT 1 KG,2016-12-10,49,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,4,1799,7196
AZUCAR GRANULADA MERKAT 1 KG,2016-12-11,49,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-13,50,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,5,2248,11240
AZUCAR GRANULADA MERKAT 1 KG,2016-12-15,50,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-16,50,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,5,2248,11240
AZUCAR GRANULADA MERKAT 1 KG,2016-12-17,50,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,8,3597,28776
AZUCAR GRANULADA MERKAT 1 KG,2016-12-20,51,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,10,4495,44950
AZUCAR GRANULADA MERKAT 1 KG,2016-12-22,51,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,8,3596,28768
AZUCAR GRANULADA MERKAT 1 KG,2016-12-23,51,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,6,2697,16182
AZUCAR GRANULADA MERKAT 1 KG,2016-12-24,51,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,6,2697,16182
AZUCAR GRANULADA MERKAT 1 KG,2016-12-25,51,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,2,900,1800
AZUCAR GRANULADA MERKAT 1 KG,2016-12-26,52,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,6,2697,16182
AZUCAR GRANULADA MERKAT 1 KG,2016-12-02,48,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,905,1810
AZUCAR GRANULADA MERKAT 1 KG,2016-12-03,48,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,905,1810
AZUCAR GRANULADA MERKAT 1 KG,2016-12-05,49,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,3,1357,4071
AZUCAR GRANULADA MERKAT 1 KG,2016-12-08,49,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,4,1809,7236
AZUCAR GRANULADA MERKAT 1 KG,2016-12-11,49,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,903,1806
AZUCAR GRANULADA MERKAT 1 KG,2016-12-13,50,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,451,451
AZUCAR GRANULADA MERKAT 1 KG,2016-12-15,50,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,451,451
AZUCAR GRANULADA MERKAT 1 KG,2016-12-16,50,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,451,451
AZUCAR GRANULADA MERKAT 1 KG,2016-12-22,51,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,451,451
AZUCAR GRANULADA MERKAT 1 KG,2016-12-26,52,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,451,451
AZUCAR GRANULADA MERKAT 1 KG,2016-12-02,48,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,5,2256,11280
AZUCAR GRANULADA MERKAT 1 KG,2016-12-04,48,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,18,8104,145872
AZUCAR GRANULADA MERKAT 1 KG,2016-12-05,49,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,9,4052,36468
AZUCAR GRANULADA MERKAT 1 KG,2016-12-08,49,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,3,1351,4053
AZUCAR GRANULADA MERKAT 1 KG,2016-12-10,49,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,3,1350,4050
AZUCAR GRANULADA MERKAT 1 KG,2016-12-11,49,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-12,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,6,2699,16194
AZUCAR GRANULADA MERKAT 1 KG,2016-12-13,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-15,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,2,899,1798
AZUCAR GRANULADA MERKAT 1 KG,2016-12-16,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,3,1349,4047
AZUCAR GRANULADA MERKAT 1 KG,2016-12-17,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,2,899,1798
AZUCAR GRANULADA MERKAT 1 KG,2016-12-19,51,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-22,51,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,4,1799,7196
AZUCAR GRANULADA MERKAT 1 KG,2016-12-23,51,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-25,51,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,450,450
AZUCAR GRANULADA MERKAT 1 KG,2016-12-26,52,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,448,448
AZUCAR GRANULADA IANSA 5 KG,2016-12-02,48,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,9015,27045
AZUCAR GRANULADA IANSA 5 KG,2016-12-06,49,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,6010,12020
AZUCAR GRANULADA IANSA 5 KG,2016-12-08,49,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-09,49,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-16,50,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,9015,27045
AZUCAR GRANULADA IANSA 5 KG,2016-12-18,50,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-23,51,AZUCAR,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-03,48,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,2,6010,12020
AZUCAR GRANULADA IANSA 5 KG,2016-12-10,49,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,2,6010,12020
AZUCAR GRANULADA IANSA 5 KG,2016-12-11,49,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-15,50,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-19,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,2,6010,12020
AZUCAR GRANULADA IANSA 5 KG,2016-12-24,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-25,51,AZUCAR,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,3,9015,27045
AZUCAR GRANULADA IANSA 5 KG,2016-12-05,49,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-09,49,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,5,15025,75125
AZUCAR GRANULADA IANSA 5 KG,2016-12-15,50,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-20,51,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,2,6010,12020
AZUCAR GRANULADA IANSA 5 KG,2016-12-24,51,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,4,12020,48080
AZUCAR GRANULADA IANSA 5 KG,2016-12-26,52,AZUCAR,TEMUCO III,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-05,49,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-08,49,AZUCAR,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,4,12020,48080
AZUCAR GRANULADA IANSA 5 KG,2016-12-03,48,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,5,15025,75125
AZUCAR GRANULADA IANSA 5 KG,2016-12-04,48,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,2,6010,12020
AZUCAR GRANULADA IANSA 5 KG,2016-12-08,49,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,4,12020,48080
AZUCAR GRANULADA IANSA 5 KG,2016-12-10,49,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-12,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,11,33055,363605
AZUCAR GRANULADA IANSA 5 KG,2016-12-16,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,3,9015,27045
AZUCAR GRANULADA IANSA 5 KG,2016-12-17,50,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-22,51,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,1,3005,3005
AZUCAR GRANULADA IANSA 5 KG,2016-12-23,51,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,2,6010,12020
AZUCAR GRANULADA IANSA 5 KG,2016-12-24,51,AZUCAR,TEMUCO V,TEMUCO,IX,Interno,Manipulacion,Bodega,3,9015,27045
POLLO ASADO UN  F,2016-12-02,48,POLLOS ASADOS,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,2594,2594
POLLO ASADO UN  F,2016-12-10,49,POLLOS ASADOS,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,2594,2594
POLLO ASADO UN  F,2016-12-12,50,POLLOS ASADOS,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,5187,10374
POLLO ASADO UN  F,2016-12-17,50,POLLOS ASADOS,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,2594,2594
POLLO ASADO UN  F,2016-12-02,48,POLLOS ASADOS,TEMUCO II,TEMUCO,IX,Vencimiento,Caducidad,Bodega,1,2678,2678
POLLO ASADO UN  F,2016-12-14,50,POLLOS ASADOS,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,3,8034,24102
POLLO ASADO UN  F,2016-12-17,50,POLLOS ASADOS,TEMUCO II,TEMUCO,IX,Vencimiento,Caducidad,Bodega,6,16068,96408
POLLO ASADO UN  F,2016-12-20,51,POLLOS ASADOS,TEMUCO II,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2678,2678
POLLO ASADO UN  F,2016-12-22,51,POLLOS ASADOS,TEMUCO II,TEMUCO,IX,Vencimiento,Caducidad,Bodega,2,5356,10712
POLLO ASADO UN  F,2016-12-23,51,POLLOS ASADOS,TEMUCO II,TEMUCO,IX,Vencimiento,Caducidad,Bodega,10,26781,267810
POLLO ASADO UN  F,2016-12-24,51,POLLOS ASADOS,TEMUCO II,TEMUCO,IX,Vencimiento,Caducidad,Bodega,10,26781,267810
POLLO ASADO UN  F,2016-12-02,48,POLLOS ASADOS,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,2,5235,10470
POLLO ASADO UN  F,2016-12-16,50,POLLOS ASADOS,TEMUCO IV,TEMUCO,IX,Interno,Manipulacion,Bodega,1,2617,2617
CHULETA VETADA SUPER CERDO KG,2016-12-02,48,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,7260,24684
CHULETA VETADA SUPER CERDO KG,2016-12-15,50,CERDO GRANEL,ANGOL,ANGOL,IX,Proveedor,Mal estado,Bodega,3,7260,24684
CHULETA VETADA SUPER CERDO KG,2016-12-03,48,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,4,9012,36697
CHULETA VETADA SUPER CERDO KG,2016-12-04,48,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,1160,608
CHULETA VETADA SUPER CERDO KG,2016-12-05,49,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,6,13954,87980
CHULETA VETADA SUPER CERDO KG,2016-12-09,49,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,2110,2106
CHULETA VETADA SUPER CERDO KG,2016-12-12,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,6069,17770
CHULETA VETADA SUPER CERDO KG,2016-12-15,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,2992,4419
CHULETA VETADA SUPER CERDO KG,2016-12-16,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,1347,896
CHULETA VETADA SUPER CERDO KG,2016-12-18,50,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,4174,8711
CHULETA VETADA SUPER CERDO KG,2016-12-19,51,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,3,6572,21596
CHULETA VETADA SUPER CERDO KG,2016-12-20,51,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,2,3952,7809
CHULETA VETADA SUPER CERDO KG,2016-12-22,51,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,5,9304,43282
CHULETA VETADA SUPER CERDO KG,2016-12-23,51,CERDO GRANEL,ANGOL,ANGOL,IX,Interno,Manipulacion,Bodega,1,1734,1503
